id,Obesity
39049,23.3
39051,11.6
39053,
39055,28.4
39057,22.6
39059,19.1
39061,22.5
39063,24.6
39065,
39067,
39069,
39071,
39073,
39075,
39077,
39079,
39081,
39083,
39085,15.8
39087,
39089,27.9
39091,
39093,25.8
39095,25.9
39097,10.8
39099,22.5
39101,
39103,21.3
39105,
39107,
39109,29.7
39111,
39113,24.2
39115,
39117,
39119,22.1
39121,
39123,
39125,
39127,
39129,
39131,
39133,21.7
39135,
39137,
39139,22.4
39141,31.3
39143,
39145,31.3
39147,
39149,13.4
39151,22.8
39153,21.0
39155,30.1
39157,33.9
39159,
39161,
39163,
39165,19.2
39167,19.9
39169,24.3
39171,
39173,24.0
39175,
40001,31.3
40003,
40005,23.5
40007,23.1
40009,24.1
40011,35.4
40013,20.9
40015,28.5
40017,21.7
40019,22.0
40021,26.1
40023,22.3
40025,
40027,20.0
40029,
40031,23.7
40033,
40035,22.5
40037,26.7
40039,24.3
40041,25.0
40043,
40045,17.7
40047,28.8
40049,25.0
40051,26.7
40053,24.5
40055,
40057,
40059,
40061,24.3
40063,22.7
40065,25.4
40067,
40069,30.8
40071,25.4
40073,27.0
40075,30.5
40077,34.0
40079,27.5
40081,30.8
40083,25.2
40085,28.6
40087,25.7
40089,29.9
40091,26.1
40093,
40095,33.6
40097,23.7
40099,19.2
40101,28.0
40103,21.9
40105,33.6
40107,23.3
40109,22.8
40111,28.5
40113,30.7
40115,25.3
40117,23.5
40119,21.2
40121,26.3
40123,25.8
40125,27.0
40127,24.2
40129,
40131,23.7
40133,31.2
40135,27.7
40137,28.3
40139,20.6
40141,
40143,22.1
40145,24.7
40147,20.1
40149,22.5
40151,16.9
40153,29.8
41001,18.4
41003,14.6
41005,20.6
41007,22.6
41009,28.7
41011,23.1
41013,29.4
41015,17.5
41017,16.4
41019,27.5
41021,
41023,
41025,
41027,25.1
41029,21.5
41031,30.5
41033,23.0
41035,24.2
41037,
41039,22.5
41041,25.0
41043,29.9
41045,28.1
41047,25.2
41049,22.0
41051,19.4
41053,20.0
41055,
41057,22.7
41059,26.1
41061,21.0
41063,12.2
41065,24.6
41067,19.6
41069,
41071,26.0
